,,,,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017
Europe,South-Eastern Europe (including Turkey),Bosnia and Herzegovina,ATS,Amphetamine,-,Kilogram,6'658,,13'316,,,,,,,,,
Europe,South-Eastern Europe (including Turkey),Bosnia and Herzegovina,ATS,Ecstasy-type substances,-,10000 tablets,,,,,,,2'769,2'215,3'876,,,
Europe,South-Eastern Europe (including Turkey),Bulgaria,ATS,Amphetamine,-,Kilogram,1'361,2'042,2'723,1'663,2'217,2'772,1'661,2'215,2'769,861,,1'434
Europe,South-Eastern Europe (including Turkey),Bulgaria,ATS,Ecstasy-type substances,-,Kilogram,10'211,11'913,13'615,,,,1'661,2'215,2'769,861,,1'434
Europe,South-Eastern Europe (including Turkey),Bulgaria,ATS,Methamphetamine,-,10000 tablets,,,,,,,3'322,3'876,4'430,,,
Europe,South-Eastern Europe (including Turkey),Bulgaria,ATS,Methamphetamine,-,Kilogram,40'844,44'248,47'651,,,,38'760,41'528,44'297,20'080,,22'949
Europe,South-Eastern Europe (including Turkey),Montenegro,ATS,Amphetamine,-,Kilogram,,,,2'993,3'326,5'543,,,,,,
Europe,South-Eastern Europe (including Turkey),Montenegro,ATS,Ecstasy-type substances,-,Kilogram,,,,2'993,3'326,5'543,,,,,,
Europe,South-Eastern Europe (including Turkey),Montenegro,ATS,Methamphetamine,-,Kilogram,,,,2'993,3'326,5'543,,,,,,
Europe,South-Eastern Europe (including Turkey),North Macedonia,ATS,Ecstasy-type substances,-,1000  tablets,3'995,7'989,13'316,3'326,,11'086,,,,,,
Europe,South-Eastern Europe (including Turkey),North Macedonia,ATS,Methamphetamine,-,Kilogram,5'326,6'658,7'989,4'435,,6'652,,,,,,
Europe,South-Eastern Europe (including Turkey),Romania,ATS,Ecstasy-type substances,-,1000  tablets,,,,3'736,,7'483,,,,3'685,,7'371
Europe,South-Eastern Europe (including Turkey),Romania,ATS,Ecstasy-type substances,-,Tablet,4,,9,,,,4,,7,,,
Europe,South-Eastern Europe (including Turkey),Turkey,ATS,Amphetamine,Captagon,1000  tablets,475,,7'122,207,,5'165,227,,4'259,,,
Europe,South-Eastern Europe (including Turkey),Turkey,ATS,Ecstasy-type substances,-,1000  tablets,712,,16'865,413,,20'658,426,,8'518,,,
Europe,South-Eastern Europe (including Turkey),Turkey,ATS,Methamphetamine,-,Kilogram,7'122,,118'703,6'197,,86'075,8'518,,76'668,,,
Europe,Western and Central Europe,Austria,ATS,Amphetamine,-,1000  tablets,1'332,3'995,5'326,1'109,3'326,4'435,,,,,,
Europe,Western and Central Europe,Austria,ATS,Amphetamine,-,Kilogram,1'997,9'321,29'294,1'663,7'761,24'390,1'661,7'752,22'148,,,
Europe,Western and Central Europe,Austria,ATS,Amphetamine,-,Tablet,,,,,,,1,3,8,,,
Europe,Western and Central Europe,Austria,ATS,Ecstasy-type substances,-,1000  tablets,1'332,7'989,10'652,1'109,6'652,8'869,,,,,,
Europe,Western and Central Europe,Austria,ATS,Ecstasy-type substances,-,Tablet,,,,,,,1,7,10,,,
Europe,Western and Central Europe,Austria,ATS,Methamphetamine,-,Kilogram,33'289,53'262,79'893,27'716,44'346,66'519,22'148,38'760,66'445,,,
Europe,Western and Central Europe,Belgium,ATS,Amphetamine,-,Kilogram,,,,665,1'885,3'326,,,,1'347,2'164,2'806
Europe,Western and Central Europe,Belgium,ATS,Ecstasy-type substances,-,1000  tablets,,,,2'772,3'187,3'603,,,,281,1'582,39'282
Europe,Western and Central Europe,Cyprus,ATS,Methamphetamine,Crystalline Methamphetamine,Kilogram,39'947,,79'893,,,,,,,,,
Europe,Western and Central Europe,Czechia,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,2'049,,2'457,2'245,,3'367
Europe,Western and Central Europe,Czechia,ATS,Ecstasy-type substances,-,Kilogram,,,,,41'020,,,,,,,
Europe,Western and Central Europe,Czechia,ATS,Methamphetamine,-,Kilogram,14'501,,24'647,,11'086,,13'925,,15'563,16'274,,23'569
Europe,Western and Central Europe,Denmark,ATS,Amphetamine,-,Kilogram,3'573,4'466,7'145,2'974,3'717,5'947,2'974,3'717,5'948,1'509,3'772,7'544
Europe,Western and Central Europe,Denmark,ATS,Ecstasy-type substances,-,1000  tablets,3'573,4'466,5'359,,1'487,,,1'487,,1'509,,3'018
Europe,Western and Central Europe,Estonia,ATS,Amphetamine,-,Kilogram,5'326,5'992,6'658,,,,4'430,4'983,5'537,,,
Europe,Western and Central Europe,Estonia,ATS,Ecstasy-type substances,-,Tablet,3,,7,,,,2,,6,,,
Europe,Western and Central Europe,Estonia,ATS,Methamphetamine,-,Kilogram,5'326,5'992,6'658,,,,4'430,4'983,5'537,,,
Europe,Western and Central Europe,Finland,ATS,Amphetamine,-,Kilogram,5'326,,19'973,11'086,,16'630,5'537,,16'611,5'612,,16'835
Europe,Western and Central Europe,Finland,ATS,Ecstasy-type substances,-,1000  tablets,,,,5'543,,8'869,5'537,11'074,22'148,5'612,11'223,22'447
Europe,Western and Central Europe,Finland,ATS,Ecstasy-type substances,-,Kilogram,3'995,,6'658,,,,,,,,,
Europe,Western and Central Europe,Finland,ATS,Methamphetamine,-,Kilogram,5'326,,19'973,11'086,,16'630,5'537,,16'611,5'612,,16'835
Europe,Western and Central Europe,France,ATS,Amphetamine,-,Kilogram,,6'658,,5'543,6'652,7'761,,,,,,
Europe,Western and Central Europe,France,ATS,Ecstasy-type substances,-,1000  tablets,,2'663,,1'663,2'217,3'215,,,,,,
Europe,Western and Central Europe,Germany,ATS,Amphetamine,-,Kilogram,2'714,3'870,4'687,2'476,3'932,5'382,2'290,3'530,5'205,,2'548,
Europe,Western and Central Europe,Germany,ATS,Ecstasy-type substances,-,1000  tablets,1'708,3'463,4'328,2'118,3'151,4'412,,,,,,
Europe,Western and Central Europe,Germany,ATS,Ecstasy-type substances,-,1000  units,,,,,,,,,,2'223,3'219,4'988
Europe,Western and Central Europe,Germany,ATS,Ecstasy-type substances,-,Kilogram,,,,,,,2'011,3'279,4'112,,,
Europe,Western and Central Europe,Germany,ATS,Methamphetamine,-,Kilogram,,,,22'506,36'955,55'155,25'471,37'584,59'247,24'691,35'073,62'570
Europe,Western and Central Europe,Greece,ATS,Amphetamine,-,Kilogram,3'196,3'595,3'995,4'435,4'989,5'543,4'430,4'983,5'537,4'489,5'051,5'612
Europe,Western and Central Europe,Greece,ATS,Ecstasy-type substances,-,1000  tablets,3'329,3'995,4'660,2'772,3'326,3'880,2'769,3'322,3'876,2'806,3'367,3'928
Europe,Western and Central Europe,Greece,ATS,Ecstasy-type substances,-,Kilogram,2'663,33'289,39'947,22'173,27'716,33'259,22'148,27'685,33'223,22'447,28'058,33'670
Europe,Western and Central Europe,Hungary,ATS,Amphetamine,-,Kilogram,1'198,1'798,2'397,,,,1'661,1'661,2'215,,,
Europe,Western and Central Europe,Ireland,ATS,Amphetamine,-,Kilogram,,6'658,,,4'435,,,4'430,,,,
Europe,Western and Central Europe,Ireland,ATS,Ecstasy-type substances,-,1000  tablets,,7'989,,,,,,,,,,
Europe,Western and Central Europe,Italy,ATS,Amphetamine,-,1000  tablets,,,,5'636,5'867,6'098,5'629,5'860,6'091,,,
Europe,Western and Central Europe,Italy,ATS,Amphetamine,-,1000  units,6'769,7'046,7'324,,,,,,,6'220,6'547,6'874
Europe,Western and Central Europe,Italy,ATS,Ecstasy-type substances,-,1000  tablets,,,,3'021,3'459,3'908,,,,4'237,4'917,5'598
Europe,Western and Central Europe,Italy,ATS,Ecstasy-type substances,-,1000  units,3'545,3'932,4'318,,,,3'018,3'461,3'904,,,
Europe,Western and Central Europe,Latvia,ATS,Amphetamine,-,Kilogram,1'997,,6'658,3'326,4'435,5'543,3'322,,5'537,2'806,3'928,5'612
Europe,Western and Central Europe,Latvia,ATS,Ecstasy-type substances,-,100 unit,,,,,,,,,,,224,
Europe,Western and Central Europe,Latvia,ATS,Methamphetamine,-,Kilogram,1'997,,9'321,,,,3'322,,5'537,2'806,3'928,5'612
Europe,Western and Central Europe,Lithuania,ATS,Amphetamine,-,Kilogram,,,,1'330,3'836,3'991,2'215,,,1'684,,7'856
Europe,Western and Central Europe,Lithuania,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,1'107,,2'215,2'245,,5'612
Europe,Western and Central Europe,Lithuania,ATS,Ecstasy-type substances,-,Kilogram,,,,,6'652,,,,,,,
Europe,Western and Central Europe,Lithuania,ATS,Methamphetamine,-,Kilogram,,,,2'772,2'827,2'882,,,,2'245,,
Europe,Western and Central Europe,Malta,ATS,Ecstasy-type substances,-,1000  tablets,2'663,9'321,13'316,,,,,,,,,
Europe,Western and Central Europe,Norway,ATS,Amphetamine,-,Kilogram,,,,4'949,7'423,9'897,,,,,,
Europe,Western and Central Europe,Norway,ATS,Ecstasy-type substances,-,1000  tablets,,,,3'093,3'093,3'093,,,,,,
Europe,Western and Central Europe,Poland,ATS,Amphetamine,-,Gram,8,10,11,,,,,,,,8,
Europe,Western and Central Europe,Poland,ATS,Amphetamine,-,Kilogram,,,,,7'977,,,1'775,,,,
Europe,Western and Central Europe,Poland,ATS,Ecstasy-type substances,-,1000  tablets,,,,1'329,1'595,1'861,,,,,,
Europe,Western and Central Europe,Poland,ATS,Ecstasy-type substances,-,Tablet,3,3,4,,,,,,,3,3,4
Europe,Western and Central Europe,Poland,ATS,Methamphetamine,-,Gram,,,,,,,,,,,20,
Europe,Western and Central Europe,Poland,ATS,Methamphetamine,-,Kilogram,30'284,31'878,35'065,,,,,10'649,,,,
Europe,Western and Central Europe,Portugal,ATS,Ecstasy-type substances,-,Gram,,,,,,,,,,34,34,34
Europe,Western and Central Europe,Slovakia,ATS,Amphetamine,-,Kilogram,,,,,,,,,,33'670,39'282,44'893
Europe,Western and Central Europe,Slovakia,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,,,,3'367,5'051,6'734
Europe,Western and Central Europe,Slovakia,ATS,Methamphetamine,-,Kilogram,,,,,,,12'182,14'396,17'719,39'282,44'893,56'117
Europe,Western and Central Europe,Slovenia,ATS,Amphetamine,-,Kilogram,1'997,3'329,4'660,1'663,2'772,3'880,,,,1'684,1'684,3'928
Europe,Western and Central Europe,Slovenia,ATS,Ecstasy-type substances,-,1000  tablets,,,,1'663,2'772,3'880,,,,1'684,1'684,3'928
Europe,Western and Central Europe,Spain,ATS,Amphetamine,-,Kilogram,,21'558,,,19'172,,,17'743,,,15'645,
Europe,Western and Central Europe,Sweden,ATS,Amphetamine,-,Kilogram,8'048,8'780,21'949,4'147,10'664,23'697,3'515,6'443,11'715,3'495,6'991,20'389
Europe,Western and Central Europe,Sweden,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,3'807,4'686,4'686,1'165,3'495,13'981
Europe,Western and Central Europe,United Kingdom,ATS,Amphetamine,-,Kilogram,1'320,3'300,8'251,1'527,2'290,7'634,1'355,2'033,4'065,1'285,1'671,2'571
Europe,Western and Central Europe,United Kingdom,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,,,,5'141,5'141,7'712
Europe,Western and Central Europe,United Kingdom,ATS,Ecstasy-type substances,-,10000 tablets,2'475,,8'251,2'290,5'344,7'634,5'420,6'775,8'130,,,
Europe,Western and Central Europe,United Kingdom,ATS,Ecstasy-type substances,-,Kilogram,8'251,,13'201,7'634,9'160,12'214,4'065,6'775,10'840,3'856,6'427,10'283
Europe,Western and Central Europe,United Kingdom,ATS,Methamphetamine,-,Kilogram,,,,,,,4'065,8'130,10'840,,,
Europe,Western and Central Europe,United Kingdom,ATS,Methamphetamine,-,Ounce,2'145,,2'723,,,,,,,2'185,,3'856
Europe,Western and Central Europe,United Kingdom,ATS,Other stimulants,"Mephedrone (4-methylmethcathinone, 4-MMC)",Kilogram,,,,,,,,,,3'856,3'856,6'427
Oceania,Australia and New Zealand,Australia,ATS,Amphetamine,-,Kilogram,204'684,332'617,460'551,,,,,,,,,
Oceania,Australia and New Zealand,Australia,ATS,Amphetamine,-,Ounce,,,,,,,2'981,,3'726,,,
Oceania,Australia and New Zealand,Australia,ATS,Amphetamine,-,Pound,,,,,,,,,,34'247,38'052,102'283
Oceania,Australia and New Zealand,Australia,ATS,Ecstasy-type substances,-,100 unit,,,,,,,5'961,8'942,13'413,,,
Oceania,Australia and New Zealand,Australia,ATS,Ecstasy-type substances,-,1000  tablets,1'200,10'203,18'051,,,,,,,,,
Oceania,Australia and New Zealand,Australia,ATS,Ecstasy-type substances,-,Kilogram,,,,,,,37'258,44'709,44'709,,,
Oceania,Australia and New Zealand,Australia,ATS,Ecstasy-type substances,-,Tablet,,,,,,,,,,5,141,19
Oceania,Australia and New Zealand,Australia,ATS,Ecstasy-type substances,Crystall/Tablet,Kilogram,,,,,,,20'119,28'689,37'258,,,
Oceania,Australia and New Zealand,Australia,ATS,Methamphetamine,-,Kilogram,63'177,98'255,178'700,,,,67'064,89'419,111'773,60'883,,214'758
Oceania,Australia and New Zealand,Australia,ATS,Methamphetamine,Crystalline Methamphetamine,Kilogram,144'404,194'795,225'632,,,,,,,,,
Oceania,Australia and New Zealand,Australia,ATS,Methamphetamine,Meth oil,Litre,,,,,,,74'516,104'322,149'031,,,
Oceania,Australia and New Zealand,Australia,ATS,Other stimulants,-,Litre,,,,,,,,,,,106'545,
