Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,Tunisia,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,
,,,,Non-specified ATS,,,,,,0,,,,,,,,,,,0,,,,,,,,,,2,,,,11,,4,,9,16,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,0,,,,,,9,,,1,6,,,,0,0,0,0,,,1,1,1,0,30,23,,,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,29,,2,,1,0,36,70,9
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,2
,,,Hashish (resin),Hashish (resin),9,0,1,9,0,15,139,64,22,409,177,241,404,131,297,170,555,201,806,1'893,537,1'289,978,540,2'311,529,223,617,,,,,,,,,34,759,779
,,,Heroine and Morphine,Heroin,,,,6,,0,10,0,,3,,0,4,1,1,5,5,0,0,1,1,,0,,,0,,,,,7,,,,0,2,0,1,1
,,,,Illicit morphine,,,,,,,0,0,,0,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,6,168,6,81,36,34,6,30,2,7,0,2,42,1,4,0,18,2,,,,,,,,,,,,,,,,,,0,,376
,,,Opium,Opium,,,0,,,,,,,,,,,,0,13,,,,,0,,,,,,,,,,,,,,,,,,
,,,Other drugs,Cannabis oil,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,150,7,35,,,26,,87,7,115,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis seed,0,0,,,0,,,,0,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,0,0,0,0,,0,0,,0,,,,,0,0,0,,0,,,,,,0,0,0,,,,,,,,,,,,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Methaqualone,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,,666,,2'298,,1'541,9'669,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,Poppy plants,,,,128,,6,,2,1,81,,21,,,197,13,,,,,,,,,,,,,,,,,,,,,,,
,Southern and South-Eastern Africa,Angola,ATS (excluding ecstasy),Non-specified ATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,1,,,9,64,536,38,16,174,21,,,,9,,56,,92,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,7,1,1
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,0,,0,,,0,22,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,40,455,716,52,,,2'223,64,518,2,2'829,4'734,621,,,,2'678,,3'694,,,,,,,87,,10,200,7'542
,,,Other drugs,Cannabis plants,,,,,,,,,,,,,40,,,400,,,,573,,,,,,1'063,,219,,,,,,,,,186,2'027,6'658
,,,,Methaqualone,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,Botswana,ATS (excluding ecstasy),Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,1,,,,0,,19,,0,3,1,1,2,,,,,,1,0,,,,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,,,,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
