Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272
,,,,Methaqualone,,,,4,35,7,560,64,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,0,0,54,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
,,,,Other illicit opioids,11,1,0,,,,,0,,,,,,,,,,,,,,,21'757,,3,,,,,,,,,1'110,,,,,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,47'289,59'357,32'470
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Poppy plants,408,5'315,474,16'649,216,198,3'616,,,,,,,,,,,,,,,,21'757,,9'352,12'164,1'696,6'880,81'675,25'550,,,,4'650,5'976,4'576,1'023,4'789,3'304
,,,,Poppy seed,,,,,113,,,,,,,,,,,,,,,,,,,12'379,,12'164,,,,,,,,,,,,,
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,Qatar,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,0,0,,1,0,,1,0,0,1,759,,434,,0,8,,0,,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,0,0,,0,0,,
,,,,Non-specified ATS,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,,,,,,,,,,,
,,,Cocaine,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
,,,Hashish (resin),Hashish (resin),41,,,,85,527,542,70,,7,9,8,24,936,42,,,362,375,681,135,145,66,297,,194,860,521,477,242,,8,0,0,,5,1'262,,
,,,Heroine and Morphine,Heroin,,,,,5,2,5,2,,4,9,0,1,1,0,0,0,,1,0,1,0,7,0,,9,1,2,0,6,,12,0,0,,0,0,,
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,
,,,Marijuana (herb),Marijuana (herb),,89,31,,,,,,,,,,,,0,0,0,,146,3,0,,0,,,1,,,2,1,,2,5,5,,11,10'154,,
,,,Opium,Opium,3,22,2,1,3,4,3,0,,0,0,1,0,,0,2,0,1,0,0,3,,0,0,,3,939,4,0,2,,535,0,0,,,0,,
,,,Other drugs,Cannabis plants,,,,,,,,0,,,,,,,,36,221,,,,,,0,,,0,,,,,,,,,,,,,
,,,,Cannabis seed,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,,,,,,,,,,,,
,,,,Methaqualone,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,Other illicit opioids,,,,,,,0,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,,,,
,,,,Plant-based NPS,,,,,,100,,,,,,,,,,1,,,,,,,,,,,,,5,21,,,,,,,,,
,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,Saudi Arabia,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,7,2,1,81,2'699,6'628,7'342,9'243,12'832,10'403,12'403,8'800,11'452,8'260,9'706,17'056,10'725,17'801,16'223,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,145,,,,,,,20,53,
,,,,Non-specified ATS,,,,,859,878,,1'105,730,7'841,642,163,681,,2'202,1'643,1'004,2'713,888,1'877,2'422,1'679,2'483,,,,,,,,,,,,,,,,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,638,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,1,1,1,0,,0,1,3,1,6,10,4,12,0,2,5,1,0,2,1,,,,6,2,0,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,4,1,0,9,842,519,
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,1,0,0,2,1,1,0,0,0,0,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,4,,,,,,,,,
,,,Hashish (resin),Hashish (resin),,,,,1'082,1'169,2'403,,2'656,3'132,3'208,1'144,1'950,2'472,1'972,1'810,3'531,1'321,2'358,2'003,2'719,1'767,,5'866,,13'575,14'807,15'125,15'438,17'205,21'167,23'128,43'750,11'061,3'170,32'350,41'785,29'837,
,,,Heroine and Morphine,Heroin,,,,,8,16,25,36,63,194,53,90,127,206,112,324,483,116,63,,201,179,29,3,53,0,,,41,,56,111,51,17,10,47,59,106,
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,5,,,,1'971,5,,,,,,,,,,5'591,663,,,,,,1,,,,,,,,,
,,,Opium,Opium,,,,,39,15,1,6,5,2,1,29,4,17,74,156,23,16,17,,13,1,5,0,,1,,,1,2,6,0,7,0,0,0,9,13,
,,,Other drugs,Any Illicit drugs,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
,,,,Cannabis plants,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,17,,,4,8,27,3,23,1,,3,0,0,,,,0,,,,,,,,37,,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,Methaqualone,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'264,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,,3,,,,98,139,,,,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,176,,,,
,,,,Plant-based NPS,,,,,4'898,,,,,1'295,,588,100,,68'192,80'693,,,209'320,217,251'616,93'823,341'419,,,,,,540'197,182,373'860,,,,,,,,
,,,,Poppy plants,,,,,,,,,,,,,,,225,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,
,,State of Palestine,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,2,0,0,1,0,0,3,0,0,2,0,0,0,0,,,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,0
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,0,0,,,,1
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,1,0,7,1,0,0,0,,0,0,0,1,3,5,5,10,8,15,18'870,6,7,,,,16
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,1,1,0,0,,,,0
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,,,49,137,123,41,119,54,38,78,29,143,453,704,25,2,1,1,12,0,2'620,20,74,,,,121
,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,
,,,,Cannabis plants,,,,,,,,,,,,,,,54,324,109,114,188,88,3'355,247,1'141,1'254,5'563,7'942,224,601,,,,36,83,54,46,,,,3'298
,,,,Cannabis seed,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,,,,0,0,0,1,,,,0
,,,,Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,LSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,,,,
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
,,,,Other substances not under int. control,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,0
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,1,,,,
,,,,Poppy plants,,,,,,,,,,,,,,,,1'060,92,118,16,10,37,27,6,,42,64,1'200,,,,,4,6,1,18,,,,
,,Syrian Arab Republic,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,521,379,356,547,1'513,2'045,2'006,3'735,2'106,3'864,932,1'032,522,4'176,716,1'488,2'055
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,
,,,,Non-specified ATS,,,,,,,,0,,75,85,92,180,21,5,16,371,616,,368,290,478,,6,45,21,48,21,89,60,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147
,,,Cocaine,"Cocaine (base, paste and salts)",,,,2,0,0,0,39,1,0,0,12,13,12,0,5,2,0,0,32,7,1,57,37,40,14,2,77,150,19,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,66,11,1,0,,,0
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,Hashish (resin),Hashish (resin),142,8'308,5'986,805,1'952,8'506,1'207,967,1'113,1'648,1'295,121'819,3'392,780,,,,,232,819,222,380,907,1'864,563,263,173,353,912,1'708,4'956,1'266,139,267,535,2'944,1'161,1'735,5'167
,,,Heroine and Morphine,Heroin,,5,6,26,19,35,9,36,11,48,21,78,99,6,8,17,10,12,36,58,50,30,29,8,6,25,7,110,47,102,51,92,38,28,31,10,4,13,1
,,,,Illicit morphine,,3,1,10,12,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),1'716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'674,1,0,0,0
,,,Opium,Opium,6,4,1,28,1,5,5,41,0,0,1,5,0,,1,,2,6,1,6,35,2,16,7,3,,0,22,,8,,,,,0,,,,
,,,Other drugs,Cannabis oil,131,6,34,,145,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'775,1'480,3'594,,,27,,30,48
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,1,1'000,,,34,163
,,,,Coca leaf,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,0,,0,0,,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'567,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,,,Non-specified precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,12,
,,,,Other illicit opioids,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,1'000,4'066,,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,2,,3,4,,25,,,,,,,,42,,,,,,,,,
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
,,United Arab Emirates,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,8,903,46,129,41,,85,0,0,,6'345,7'786,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,187,,,6,5,151,100
,,,,Non-specified ATS,37,6,35,,,,,,,,,,,0,,,2,,,,0,,,,3,753,0,,,,,,,,,,,,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'533
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,0,,0,,,1,0,61,,,0,0,,0,1,1,0,0,0,0,,,7,46,51,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,204,,,218,55,11,26
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),322,164,102,,,1'402,,1'855,651,911,321,3'307,716,405,1'793,2'545,1'378,3'506,7'087,2'531,943,6'114,3'127,2'071,1'778,242,1'245,859,1'025,396,1'307,,1'192,,,469,467,943,748
,,,Heroine and Morphine,Heroin,0,,15,,,41,,58,16,41,37,20,220,53,47,76,22,36,34,66,82,40,115,66,91,183,130,178,388,250,210,,158,,,211,17,126,309
,,,,Illicit morphine,,0,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),14,20,,,,,,167,,,,,,,0,,,,0,0,,3,0,1,2,5,11,52,2,2,15,,6,,,19,12,56,247
,,,Opium,Opium,30,,14,,,18,,7,4,19,11,25,66,43,162,62,16,4,10,8,27,9,23,7,50,7,11,10,28,37,38,,69,,,74,2,22,48
,,,Other drugs,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,
,,,,Cannabis oil,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,0,,,,,,,,,,
,,,,Cannabis seed,,,,,,,,,,,,,,1,,0,5,,,,0,,,,,,,,,,,,,,,,,,
,,,,Coca leaf,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,16,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,
,,,,Methaqualone,,,,,,,,,,,,,,123,238,,,6'001,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,0,0,,,,5,,,,,,
,,,,Non-specified hallucinogens,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,,0,0,12,,,0,,,,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,311,170,5,,145,8'753,
,,,,Plant-based NPS,,,,,,47,,,,,,,,13,1,2,2,1,30,2,,11,21,19,3,22,2,2,,5,,,,,,,,,
,,,,Poppy plants,,0,,,,,,,,,,,8,,18,,,13,,,,,,,,,,,,,,,,,,,,,
,,,,Poppy seed,,,,,,,,,,,,,0,,1,,,,,0,,,,,41,,,,,,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
,,Yemen,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,135,2'280,854,,,43,138,203,,,,
,,,,Non-specified ATS,,,,,,11,,,,,1,,,,0,,,1,0,0,,,,,22,,,,,,,,,,,,,,
,,,Cocaine,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,0,41,,,,4,,,,,,,,26,,1'871,,2'084,4'663,26'000,3'758,,785,2'614,909,1'059,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,,,2,,,,,5,,,,0,,,,,,0,,,189,0,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,18,145,297,,,,,,1,11,,25,,,,,,,,,,,,,,,,,,
,,,Opium,Opium,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Cannabis plants,,,,,,,,,,,8,,,,,,,,,,,,,,150,,,11,0,,,,,,,,,,
,,,,Cannabis seed,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
,,,,Methaqualone,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,443,1'279,,,,
,,,,Poppy plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southern Asia,Bangladesh,ATS (excluding ecstasy),Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,118,3,12,73,159,176,2'539,,1'824,355,3'607,
,,,,Non-specified ATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,3,3,7,0,0,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,
,,,Hashish (resin),Hashish (resin),,321,,0,,2,,3,2,6,23,5,25,,12,,7,,1,7,0,,28,1,1,0,0,,,,,,,,,,34,,
,,,Heroine and Morphine,Heroin,,,,,0,,,2,1,128,29,14,31,8,13,,17,,15,42,53,49,55,38,13,20,16,29,29,160,188,104,126,124,30,110,267,402,
,,,,Illicit morphine,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,0,,0,0,,,,,,,0,0,0,
,,,Marijuana (herb),Marijuana (herb),332,220,400,1'288,973,546,6'322,448,1,6'240,4'234,1'112,5'580,1'143,789,,122,,3'404,3'475,2'594,2'392,1'555,2'392,1'851,1'590,1'345,1'768,2'302,32'956,48'749,52'961,39'848,34'998,17'090,41'720,47'105,69'990,
,,,Opium,Opium,11,10,8,14,21,20,4,17,2,11,8,0,7,5,8,,0,,1,0,3,3,0,,0,0,,,,,12,8,5,13,20,,,,
,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,
,,,,Cannabis plants,76,430,497,1'115,,1'068,,,,,4'466,20'887,16'110,5'210,6'265,,2'531,,1'238,359,212,1'029,613,528,122,90,194,2'706,351,79,176,74,49,67,22,76,89,54,
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,0,,,,,,,,,,
,,,,Non-specified,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32'956,48'749,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
,,,,Other illicit opioids,,,,,,,,,,,,,,1,2,,2,,1,0,0,0,293,379,263,2,304,147,130,32'870,,,,,,,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,,,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5'105,276,339,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2'960,4'123,3'234,2'621,863,161'699,1,0,0,
,,,,Poppy plants,,,,,,,,,,,,,,,,,,,,,,,,,,3'750,,,,145'021,,,,,,,,,
,,,,Solvents and inhalants,,,,,,,,,,,,,,,,,,,,,,,,,,4'317,,,,,,,,,,,,,
,,Bhutan,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,166,183
,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,61,19
,,India,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,3,1,,,91,,,,20,41,16,4,40,85,183,135,1'687,72,261
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,22,469,1,,31,31,13,23,170
,,,,Non-specified ATS,,0,,,,0,,45,9,1,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,431
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,107
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,Cocaine,"Cocaine (base, paste and salts)",0,4,0,0,5,5,15,5,13,3,1,0,0,,2,40,3,24,1,1,0,2,2,3,6,4,206,8,12,12,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,44,47,15,113,28,69,35
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,2,,,3
,,,Hashish (resin),Hashish (resin),1'841,898,1'640,6'072,4'368,10'312,18'909,14'796,17'523,8'179,6'388,4'413,6'621,7'979,,3'629,6'520,3'281,10'106,3'290,5'041,5'664,3'010,3'013,4'599,3'965,3'852,5'181,4'084,3'549,4'300,3'872,3'291,4'407,2'281,3'349,2'900,3'218,3'911
,,,Heroine and Morphine,Heroin,1,8,34,139,203,761,2'661,2'747,3'029,2'714,2'193,622,1'153,1'074,1'011,1'681,1'257,1'332,655,839,1'240,940,879,991,1'162,981,1'182,1'186,1'063,1'045,766,528,1'029,1'450,1'380,1'416,1'683,2'146,1'258
,,,,Illicit morphine,6,31,17,21,29,125,227,115,23,18,6,6,35,36,55,4,4,128,19,30,39,26,66,109,97,47,36,43,73,42,25,53,263,7,26,61,29,449,20
,,,Marijuana (herb),Marijuana (herb),18'570,25'861,21'760,21'686,21'208,66'314,60'620,53'920,45'994,54'463,39'090,52'633,64'341,94'864,187'896,121'873,62'992,80'866,68'221,38'610,100'056,86'933,88'491,79'653,144'055,153'660,157'710,107'889,103'211,171'214,173'129,122'711,76'998,91'729,108'300,94'403,294'370,352'539,391'275
,,,Opium,Opium,4'199,5'338,5'073,6'592,7'939,6'839,8'759,2'929,3'304,4'855,2'114,2'145,1'918,2'911,2'256,1'349,2'867,3'316,2'031,1'588,2'684,2'533,1'835,1'720,2'237,2'009,2'826,2'226,2'033,1'732,1'861,2'348,3'623,2'333,2'063,1'687,4'903,2'551,4'307
,,,Other drugs,Acetic anhydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'038,81,,363,243,54,,,25,
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,111,453,293,,62
,,,,Cannabis oil,,8,13,1,,0,2,7,1,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,20
,,,,Cannabis plants,2'623,20'081,143,11'726,27'944,102'334,33'198,17'898,232'820,5'191'259,14'786,93,,,1'073'334,694'617,,,,,,174'818,4'256,150'500,,,,,,,,,599,,,,,,1'118'489
,,,,Depressants (excluding Methaqualone),77,69,267,,,,0,,,720,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'244,2'207,,4'393,6'655,512,,44'960,2'990,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,61,212,269,789,1'087,1'268,1'493,652,,40,276,78,161,615
,,,,LSD,,,,0,0,,,,,,,,0,,0,0,0,,0,0,,,,,,,,0,,,0,,0,,0,1,,0,0
,,,,Methaqualone,,,,95,1'669,745,1'684,1'500,1'649,887,2'141,4'415,7'475,14'722,45'319,20'485,2'212,1'740,2'257,474,1'095,2'024,7'458,345,1'614,472,4'521,1,2'382,5,20,72,216,,54,231,24'107,124,102
